entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,r_multiple,pnl,return_pct,direction,exit_reason
2026-03-19 13:20:00-04:00,24219.23,24239.13,24179.429999999997,2026-03-19 13:30:00-04:00,24239.13,-1.0,-19.900000000001455,-0.0008216611345613158,short,SL
2026-03-20 12:55:00-04:00,24068.13,24142.85,23918.690000000006,2026-03-20 13:35:00-04:00,24072.03,-0.05219486081367701,-3.899999999997817,-0.00016204000892457442,short,SESSION_END
2026-03-23 11:55:00-04:00,24397.35,24332.05,24527.949999999997,2026-03-23 12:05:00-04:00,24332.05,-1.0,-65.29999999999927,-0.002676520195840912,long,SL
2026-03-23 12:35:00-04:00,24329.03,24299.33,24388.429999999993,2026-03-23 12:40:00-04:00,24299.33,-1.0,-29.69999999999709,-0.001220763836453697,long,SL
2026-03-24 09:35:00-04:00,24199.95,24190.75,24218.350000000002,2026-03-24 09:40:00-04:00,24190.75,-1.0,-9.200000000000728,-0.00038016607472332495,long,SL
2026-03-25 11:00:00-04:00,24293.35,24275.85,24328.35,2026-03-25 11:05:00-04:00,24328.35,2.0,35.0,0.0014407234901732367,long,TP
2026-03-25 12:30:00-04:00,24254.93,24243.15,24278.489999999998,2026-03-25 12:35:00-04:00,24278.489999999998,2.0,23.55999999999767,0.0009713489175189403,long,TP
2026-03-26 09:35:00-04:00,23951.65,23966.85,23921.250000000007,2026-03-26 09:40:00-04:00,23966.85,-1.0,-15.19999999999709,-0.0006346118117122239,short,SL
2026-03-26 11:30:00-04:00,23884.65,23913.95,23826.050000000003,2026-03-26 12:00:00-04:00,23913.95,-1.0,-29.299999999999272,-0.001226729301036409,short,SL
2026-03-27 12:30:00-04:00,23367.23,23416.95,23267.789999999997,2026-03-27 12:35:00-04:00,23416.95,-1.0,-49.720000000001164,-0.002127766106637422,short,SL
2026-03-31 13:15:00-04:00,23367.83,23355.53,23392.430000000008,2026-03-31 13:20:00-04:00,23355.53,-1.0,-12.30000000000291,-0.0005263646645838707,long,SL
2026-04-01 11:40:00-04:00,23995.75,23968.35,24050.550000000003,2026-04-01 11:45:00-04:00,23968.35,-1.0,-27.400000000001455,-0.001141868872612919,long,SL
2026-04-01 13:00:00-04:00,23966.33,23940.73,24017.530000000006,2026-04-01 13:05:00-04:00,23940.73,-1.0,-25.600000000002183,-0.0010681652134474566,long,SL
2026-04-02 12:35:00-04:00,23510.93,23520.85,23491.090000000004,2026-04-02 12:40:00-04:00,23520.85,-1.0,-9.919999999998254,-0.00042193141657936346,short,SL
2026-04-06 13:15:00-04:00,24195.83,24145.83,24295.83,2026-04-06 13:35:00-04:00,24131.03,-1.2960000000000582,-64.80000000000291,-0.0026781474328428866,long,SESSION_END
2026-04-08 10:20:00-04:00,25042.85,25034.05,25060.449999999997,2026-04-08 10:25:00-04:00,25060.449999999997,2.0,17.599999999998545,0.0007027954086694824,long,TP
2026-04-08 12:00:00-04:00,25059.55,25039.55,25099.55,2026-04-08 12:15:00-04:00,25039.55,-1.0,-20.0,-0.000798098928352664,long,SL
2026-04-10 09:50:00-04:00,25111.65,25098.95,25137.050000000003,2026-04-10 10:55:00-04:00,25098.95,-1.0,-12.700000000000728,-0.0005057413590903317,long,SL
2026-04-10 13:10:00-04:00,25157.53,25137.43,25197.729999999996,2026-04-10 13:30:00-04:00,25197.729999999996,2.0,40.19999999999709,0.0015979311164489157,long,TP
2026-04-13 13:30:00-04:00,25139.83,25118.58,25182.33,2026-04-13 13:35:00-04:00,25125.23,-0.6870588235295145,-14.600000000002183,-0.000580751739371435,long,SESSION_END
2026-04-14 12:30:00-04:00,25556.43,25509.25,25650.79,2026-04-14 13:35:00-04:00,25627.33,1.5027554048325777,70.90000000000146,0.002774252898390012,long,SESSION_END
2026-04-17 10:15:00-04:00,26386.43,26379.95,26399.39,2026-04-17 10:25:00-04:00,26379.95,-1.0,-6.479999999999563,-0.0002455807776951851,long,SL
2026-04-17 13:30:00-04:00,26637.93,26619.55,26674.690000000002,2026-04-17 13:35:00-04:00,26650.83,0.701849836779148,12.900000000001455,0.0004842718634669231,long,SESSION_END
2026-04-20 10:30:00-04:00,26542.45,26539.65,26548.05,2026-04-20 10:35:00-04:00,26539.65,-1.0,-2.7999999999992724,-0.00010549139209075546,long,SL
2026-04-21 10:25:00-04:00,26720.15,26710.35,26739.750000000007,2026-04-21 10:35:00-04:00,26739.750000000007,2.0,19.60000000000582,0.0007335288162680906,long,TP
2026-04-22 12:25:00-04:00,26727.85,26723.95,26735.649999999994,2026-04-22 12:30:00-04:00,26723.95,-1.0,-3.899999999997817,-0.00014591521577672045,long,SL
2026-04-23 12:45:00-04:00,26929.93,26896.15,26997.489999999998,2026-04-23 12:55:00-04:00,26896.15,-1.0,-33.779999999998836,-0.0012543664242721326,long,SL
2026-04-27 09:15:00-04:00,27320.25,27315.35,27330.050000000003,2026-04-27 09:25:00-04:00,27315.35,-1.0,-4.900000000001455,-0.0001793541420741558,long,SL
2026-04-29 12:15:00-04:00,27087.75,27101.95,27059.35,2026-04-29 12:30:00-04:00,27059.35,2.0,28.400000000001455,0.0010484444075274416,short,TP
2026-04-29 13:05:00-04:00,27055.78,27083.13,27001.079999999994,2026-04-29 13:10:00-04:00,27083.13,-1.0,-27.350000000002183,-0.001010874570978999,short,SL
2026-04-30 10:05:00-04:00,27282.45,27261.55,27324.250000000004,2026-04-30 10:20:00-04:00,27324.250000000004,2.0,41.80000000000291,0.001532120465720744,long,TP
2026-04-30 11:10:00-04:00,27355.25,27333.95,27397.85,2026-04-30 11:20:00-04:00,27397.85,2.0,42.599999999998545,0.0015572879063433362,long,TP
2026-04-30 11:50:00-04:00,27391.05,27376.05,27421.05,2026-04-30 12:10:00-04:00,27376.05,-1.0,-15.0,-0.0005476241327002798,long,SL
2026-05-05 10:45:00-04:00,27826.55,27820.75,27838.149999999998,2026-05-05 10:50:00-04:00,27820.75,-1.0,-5.799999999999272,-0.00020843403152741798,long,SL
2026-05-05 13:20:00-04:00,27990.33,27968.33,28034.33,2026-05-05 13:35:00-04:00,27976.48,-0.6295454545455538,-13.850000000002183,-0.000494813744604018,long,SESSION_END
2026-05-06 13:30:00-04:00,28367.43,28326.33,28449.629999999997,2026-05-06 13:35:00-04:00,28382.58,0.36861313868617984,15.150000000001455,0.0005340631844337486,long,SESSION_END
2026-05-07 11:05:00-04:00,28617.45,28608.45,28635.45,2026-05-07 11:20:00-04:00,28608.45,-1.0,-9.0,-0.00031449342970809766,long,SL
2026-05-08 10:10:00-04:00,28765.75,28758.15,28780.949999999997,2026-05-08 10:15:00-04:00,28758.15,-1.0,-7.599999999998545,-0.0002642030887426382,long,SL
2026-05-08 11:30:00-04:00,28819.05,28788.05,28881.05,2026-05-08 11:55:00-04:00,28788.05,-1.0,-31.0,-0.0010756773731264563,long,SL
2026-05-08 12:30:00-04:00,28847.53,28782.75,28977.089999999997,2026-05-08 12:55:00-04:00,28977.089999999997,2.0,129.55999999999767,0.0044911990731961345,long,TP
2026-05-11 13:05:00-04:00,29267.53,29234.13,29334.329999999994,2026-05-11 13:25:00-04:00,29234.13,-1.0,-33.39999999999782,-0.0011411964043428952,long,SL
2026-05-12 11:20:00-04:00,29025.95,29042.65,28992.55,2026-05-12 11:25:00-04:00,29042.65,-1.0,-16.700000000000728,-0.0005753472323903517,short,SL
2026-05-15 11:00:00-04:00,29137.05,29150.05,29111.05,2026-05-15 11:05:00-04:00,29111.05,2.0,26.0,0.0008923346735513718,short,TP
2026-05-15 12:55:00-04:00,29043.03,29074.95,28979.189999999995,2026-05-15 13:00:00-04:00,29074.95,-1.0,-31.92000000000189,-0.0010990588791872575,short,SL
2026-05-18 10:25:00-04:00,28992.25,29010.65,28955.449999999997,2026-05-18 10:30:00-04:00,29010.65,-1.0,-18.400000000001455,-0.0006346523639938761,short,SL
2026-05-19 10:35:00-04:00,28810.25,28823.65,28783.449999999997,2026-05-19 10:45:00-04:00,28783.449999999997,2.0,26.80000000000291,0.0009302244860771049,short,TP
2026-05-19 12:05:00-04:00,28759.95,28795.45,28688.95,2026-05-19 12:30:00-04:00,28795.45,-1.0,-35.5,-0.0012343554143870207,short,SL
2026-05-20 11:15:00-04:00,29030.65,29027.35,29037.250000000007,2026-05-20 11:20:00-04:00,29027.35,-1.0,-3.3000000000029104,-0.00011367296288587786,long,SL
2026-05-20 12:30:00-04:00,29042.63,29024.65,29078.59,2026-05-20 12:35:00-04:00,29024.65,-1.0,-17.979999999999563,-0.0006190899377914315,long,SL
2026-05-20 13:15:00-04:00,29075.63,29014.93,29197.030000000002,2026-05-20 13:35:00-04:00,29110.13,0.568369028006583,34.5,0.001186560703929717,long,SESSION_END
